event_id,center_date,is_flood_event,window_n_days,flow_raw_max,flow_raw_mean,flow_pct_max,flow_pct_mean,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_3day_max,api_k_0_90_max,storm_wind_max,storm_wind_mean,event_duration_proxy,flood_label_in_window,severity_rank,rp,total_impact,aep
F030,2012-08-20,1,5,184.239,151.53220000000002,0.9487303376818595,0.9260643152413164,5,0.0487303376818596,0.1303215762065817,-2,35.528897792534124,160.71903556420648,1.8,1.492,5,1,0.575,2.352941176470588,25139.590485607907,0.4261748724646232
F011,1999-07-12,1,5,187.951,125.9759,0.9504482740108444,0.8801524668491973,3,0.0504482740108443,0.0948676652171578,1,54.15395230867692,121.92982593703948,2.82,2.0200000000000005,3,1,0.5875,2.4242424242424243,25600.69087898267,0.4122725213140578
N006,1981-07-12,0,5,211.639,150.3576,0.9597090245342782,0.9218607397863317,5,0.0597090245342781,0.1093036989316581,2,49.76363716197663,132.97428016335823,1.51,1.474,5,0,0.6,2.5,26070.248592809497,0.3988236820432423
F008,1993-10-03,1,5,275.201,228.868,0.9754120362914048,0.9635260643152412,5,0.0754120362914049,0.3176303215762064,-2,63.802909592235864,184.97224792303808,2.32,1.9180000000000004,5,1,0.6125,2.580645161290323,26548.41874790427,0.3858135605340564
F004,1979-09-07,1,5,296.572,188.09972,0.9788479089493746,0.8909862028238578,3,0.0788479089493745,0.2218338970311911,1,90.07757063177216,137.00040584179118,,,3,1,0.625,2.6666666666666665,27035.359310247353,0.3732278452708
F010,1998-10-19,1,5,314.128,212.17439999999996,0.981156385891448,0.9528426477693672,5,0.0811563858914479,0.2642132388468351,1,62.673942028090394,165.66939930990378,2.92,2.068,5,1,0.6375,2.758620689655172,27531.231143168363,0.3610526915971064
N030,2014-06-08,0,5,339.433,231.7802,0.9845385730391368,0.9541096258119932,5,0.0845385730391367,0.2705481290599666,-1,99.38839460999078,144.30341568261142,2.85,2.278,5,0,0.65,2.857142857142857,28036.198060488437,0.3492747064864136
F020,2006-10-22,1,5,343.235,185.67904,0.9849143716111022,0.8999087346325225,3,0.0849143716111021,0.2090567455843667,1,80.20548001799207,138.80697074782103,4.05,2.392,3,1,0.6625,2.962962962962963,28550.42688063667,0.3378809338092414
F038,2024-07-10,1,5,362.252,232.26539999999991,0.9866323079400868,0.9375744886455144,3,0.0866323079400869,0.2437375852257474,1,101.4393019016394,183.1944315372288,2.67,1.736,3,1,0.675,3.0769230769230775,29250.766776141205,0.3232652970265348
N035,2017-10-14,0,5,398.149,249.3508,0.9891555269232836,0.9620228700273796,5,0.0891555269232834,0.310114350136898,-2,92.91778381077783,178.84277705866458,3.15,2.27,5,0,0.6875,3.2,29787.27273373481,0.3127199834371519
F024,2008-09-16,1,5,418.69,280.64340000000004,0.990712406721426,0.964696408439362,5,0.0907124067214258,0.323482042196811,1,96.70261168576236,187.7577751009595,3.97,2.5780000000000003,5,1,0.7,3.333333333333333,30517.952368085815,0.2991927280188516
F022,2008-07-01,1,5,429.842,248.62258000000003,0.9911955763139528,0.9348150534170828,4,0.0911955763139528,0.2760938422719706,0,106.19516020150198,162.50967525257036,2.46,2.072,4,1,0.7125,3.4782608695652177,31266.555520740352,0.2862506179345358
F032,2013-09-13,1,5,439.452,299.566,0.9917324314167606,0.9729102915123208,5,0.0917324314167605,0.364551457561604,1,106.4356647576013,189.65886609285465,2.86,2.442,5,1,0.725,3.6363636363636362,32033.5218542992,0.2738683416889086
F031,2013-06-18,1,5,455.644,115.08738,0.9926450850915338,0.5961024319536158,1,0.0926450850915338,0.0926450850915338,2,91.5448671081388,126.49946159798398,3.19,2.408,1,1,0.7375,3.80952380952381,32819.30181625477,0.2620216826801256
F023,2008-07-06,1,5,473.946,378.7658,0.9931819401943416,0.9866537821441992,5,0.0931819401943415,0.4332689107209961,2,104.15907739374056,227.5531417368805,4.12,3.228,5,1,0.75,4.0,33624.35690354371,0.2506874718382424
F028,2011-07-01,1,5,475.999,373.9064,0.993289311214903,0.97894454286788,5,0.093289311214903,0.3947227143393997,1,136.5465736370129,203.8384051419472,5.31,3.838,5,1,0.7625,4.210526315789473,34658.50281573184,0.237206660606992
F025,2009-09-23,1,5,478.393,185.88412,0.9935040532560262,0.8534707682396521,2,0.0935040532560261,0.163923337091319,2,109.62577263077252,159.58196317452652,3.99,2.342,2,1,0.775,4.444444444444445,35724.45477169832,0.2244507849703286
N024,2007-09-03,0,5,500.424,355.25079999999997,0.9942019648896764,0.9808772212379878,5,0.0942019648896762,0.4043861061899393,-1,120.9295774571096,248.48034938868872,3.04,2.186,5,0,0.7875,4.705882352941176,36823.19099357698,0.2123808612493562
F009,1998-10-11,1,5,501.637,323.3366,0.994255650399957,0.978826434745262,5,0.0942556503999569,0.3941321737263111,-2,154.46531110664665,208.59874365818956,3.2,1.89,5,1,0.8,5.000000000000001,37955.719789561685,0.2009600021268854
F026,2010-09-16,1,5,512.677,196.24384,0.9946851344822032,0.8664948730337683,2,0.0946851344822032,0.1653728458689,2,113.20835203057854,173.42771113548235,4.08,2.424,2,1,0.8125,5.333333333333333,39360.82614390139,0.1880627253506488
F007,1990-08-07,1,5,554.432,260.03508,0.995973586728942,0.8468030278627798,3,0.0959735867289418,0.2623127717828958,1,137.12544874567232,167.2388269245963,6.54,3.1879999999999997,3,1,0.825,5.714285714285713,41065.994153967775,0.1740582745932734
N004,1979-09-17,0,5,569.57,347.23130000000003,0.9964567563214688,0.9482901164975572,4,0.0964567563214687,0.3299404090835882,2,143.65580349505478,214.54185935091937,,,4,0,0.8375,6.153846153846155,42586.241685906,0.1628875056896872
F019,2004-04-29,1,5,574.211,262.47860000000003,0.9965641273420304,0.9396789606485207,4,0.0965641273420303,0.2351854834380199,-2,115.0394205037283,129.14691760519332,4.02,2.5439999999999996,4,1,0.85,6.666666666666666,44431.139369869226,0.1507577758446599
F006,1988-09-03,1,5,613.009,388.5602,0.9972620389756804,0.9684758683631288,4,0.0972620389756804,0.3428786170612551,2,170.65594078757596,233.9855752225725,4.72,2.724,4,1,0.8625,7.272727272727275,46637.65959293266,0.1379972780109941
F005,1981-06-16,1,5,617.02,265.31327999999996,0.997369409996242,0.9275997208353466,4,0.097369409996242,0.2211198797444569,2,132.0760005750777,195.77422099441876,2.81,2.022,4,1,0.875,8.0,49251.24444665148,0.1249281095939068
F021,2007-09-27,1,5,639.794,225.38796,0.9978525795887688,0.7278251999785257,2,0.0978525795887689,0.1856122832447521,1,126.7172686427254,156.0157084749354,2.63,1.996,2,1,0.8875,8.888888888888886,52011.295178958855,0.1130966696710045
N011,1993-09-18,0,5,640.697,201.89066,0.9979062650990498,0.8762119503945887,1,0.0979062650990497,0.0979062650990497,2,115.29632341066429,189.76846507127297,5.0,2.852,1,0,0.9,10.000000000000002,55595.60406959917,0.1001468202044766
F034,2017-09-08,1,5,661.325,351.32000000000005,0.9982283781607344,0.95082407258281,4,0.0982283781607343,0.3262897943844954,1,143.73492618912897,209.8653307086958,4.9,3.678,4,1,0.9125,11.428571428571425,59788.05155765509,0.0877047999087317
F001,1975-09-09,1,5,677.963,438.442,0.998335749181296,0.9792881301336768,5,0.0983357491812959,0.3964406506683845,2,151.18771991278444,241.71805484271425,,,5,1,0.925,13.333333333333341,65080.46867412484,0.0751289396504344
F012,1999-09-29,1,5,683.841,356.78819999999996,0.9984968057121384,0.7830783271594995,3,0.0984968057121382,0.2863101948784022,2,198.01877662630704,213.0073304655408,4.68,2.886,3,1,0.9375,16.0,72140.71295109803,0.0622569307204059
N029,2013-10-18,0,5,741.742,189.73876,0.9989262897943844,0.7562677833252804,1,0.0989262897943844,0.0989262897943844,2,136.03335628722564,183.92861042256715,2.01,1.646,1,0,0.95,19.999999999999982,81433.6076090872,0.0499073720686729
F013,1999-10-05,1,5,881.498,555.1283999999999,0.9993557738766308,0.9875127503086916,5,0.0993557738766306,0.4375637515434583,1,203.5548592873565,317.3625260468758,4.49,3.592,5,1,0.9625,26.666666666666682,95326.55391943426,0.037439910090041
F016,2003-09-28,1,5,908.666,409.13072,0.9994631448971922,0.9054383421914424,3,0.0994631448971922,0.2854512267139099,1,190.70088111044015,227.5202270198464,3.63,2.41,3,1,0.975,39.999999999999964,119279.79845185236,0.0248709422996699
F037,2021-08-19,1,5,1142.38,244.51434000000003,0.9998926289794384,0.479851827991625,1,0.0998926289794384,0.0998926289794384,2,179.00415236814314,204.7849422454019,4.81,2.346,1,1,0.9875,80.00000000000028,173659.66383007955,0.0125320156311515
F039,2025-10-10,1,5,1245.6,733.6206,1.0,0.9961346432597844,5,0.0999999999999999,0.4806732162989209,-1,278.9410625195339,298.5314614174738,3.35,2.1599999999999997,5,1,0.999,999.9999999999991,474757.5599913453,0.002
