storm_within_300km,rain_3day,api_k_0_90,duration_above_90,area_above_90,tp_6h_max_mm,RH2M,WS2M,storm_max_wind_kt
0,4.874254378860235,10.587273327162448,0,0.0,2.0179767258812165,69.5,2.37,0
0,2.6849493462144505,14.04529371244942,0,0.0,1.1391446757013957,52.09,2.68,0
0,0.7594052632452921,8.386347222831068,0,0.0,0.0469946389999845,67.6,1.37,0
0,1.4360716598655716,12.740431496225405,0,0.0,1.1218793735458752,73.15,2.51,0
0,2.5363958930741144,11.943920455716562,0,0.0,1.3815358781537634,73.25,2.05,0
0,2.69300995902334,12.201776898215318,0,0.0,0.7015124792502878,71.84,1.5,0
0,0.580278610496561,9.438077831988464,0,0.0,0.2995217864260751,87.78,1.58,0
0,0.0643788263654961,9.930620861150189,0,0.0,0.0030459133730203,69.71,1.82,0
0,0.0054638803303472,7.798888989683158,0,0.0,0.0,56.93,1.62,0
0,7.179274241842458,10.235843044977289,0,0.0,3.524839078571808,64.52,2.2,0
0,1.2465498684557696,11.880723164727067,0,0.0,0.8016867627501882,70.01,2.51,0
0,0.2552315622520383,10.29448114059595,0,0.0,0.0911764055784671,69.15,1.48,0
0,0.8031226615627867,9.315842463948202,0,0.0,0.2562135486979051,65.71,1.76,0
0,3.456690125565521,10.057713731348372,0,0.0,0.8536454986608124,80.36,1.34,0
0,1.0189117453092955,11.516410016015826,0,0.0,0.2922975387676161,65.94,1.46,0
0,4.850715834927865,12.543191831029231,0,0.0,2.6753354889472805,61.55,2.23,0
0,5.632840971055118,14.314455092680308,0,0.0,1.95619177742156,70.93,2.25,0
0,3.3809776605954305,11.816263717980735,0,0.0,1.5182842957127007,73.78,2.12,0
0,1.3287648331967057,14.68969248060757,0,0.0,0.2108056775162234,67.33,2.3,0
0,0.3180339507419984,10.117063441340129,0,0.0,0.3178299520564679,47.07,2.3,0
0,0.8025201743870092,10.681527091279008,0,0.0,0.0046460888337222,58.06,1.6,0
0,9.578681279494994,17.68682172893388,0,0.0,6.4058193080831565,56.0,4.07,0
0,0.084455569047921,10.738048367533052,0,0.0,0.0392693981925541,71.1,1.64,0
0,0.962361635195416,10.276800776907429,0,0.0,0.1129658965245848,55.58,2.26,0
0,2.100565613981306,10.593482326669768,0,0.0,0.3816054438996021,62.3,2.2,0
0,4.629745317831849,11.70276252963932,0,0.0,2.348243458660281,81.2,2.11,0
0,2.823842385335652,13.54941958647374,0,0.0,2.361523364533335,49.76,3.96,0
0,1.9603915880943803,13.12545295394467,0,0.0,0.0232558501504732,51.54,2.14,0
0,0.0054638803303472,8.665432210759064,0,0.0,0.0,53.73,1.8,0
0,2.983018534176208,9.534518183849334,0,0.0,0.9097724309887292,72.9,1.7,0
0,4.39942772452976,14.438699887253929,0,0.0,0.9253791026759616,63.82,1.96,0
0,3.186799037728749,13.25787722749206,0,0.0,0.4338668857405229,63.26,2.25,0
0,0.836034003305878,13.260861847165083,0,0.0,0.1182126826499776,51.06,2.2,0
0,0.7226032243233248,12.068341978745424,0,0.0,0.3447696876796109,63.76,1.76,0
0,3.0718098944099212,16.157369333426637,0,0.0,1.227548191201148,63.82,2.03,0
0,1.3305359662174632,10.993510494156356,0,0.0,0.0792945844064047,54.75,2.22,0
